GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ring of Automation Database Library,io.cyborgcode.roa.db.validator,DbAssertionTarget,0,23,0,0,0,5,0,2,0,2
Ring of Automation Database Library,io.cyborgcode.roa.db.validator,QueryResponseValidatorImpl,6,165,1,15,1,34,1,14,0,6
Ring of Automation Database Library,io.cyborgcode.roa.db.connector,BaseDbConnectorService,0,160,1,7,0,40,1,12,0,9
Ring of Automation Database Library,io.cyborgcode.roa.db.config,DatabaseConfiguration,0,26,0,0,0,2,0,1,0,1
Ring of Automation Database Library,io.cyborgcode.roa.db.config,DbConfigHolder,0,10,0,2,0,3,0,2,0,1
Ring of Automation Database Library,io.cyborgcode.roa.db.config,DbTypeConverter,0,32,0,2,0,7,0,3,0,2
Ring of Automation Database Library,io.cyborgcode.roa.db.config,DbInteractionAutoConfiguration,0,12,0,0,0,3,0,3,0,3
Ring of Automation Database Library,io.cyborgcode.roa.db.query,ParametrizedQuery,0,86,0,4,0,17,0,7,0,5
Ring of Automation Database Library,io.cyborgcode.roa.db.query,DbQuery,0,34,0,0,0,11,0,2,0,2
Ring of Automation Database Library,io.cyborgcode.roa.db.query,QueryResponse,0,14,0,2,0,5,0,2,0,1
Ring of Automation Database Library,io.cyborgcode.roa.db.client,DbClientManager,0,40,0,2,0,9,0,5,0,4
Ring of Automation Database Library,io.cyborgcode.roa.db.client,RelationalDbClient,0,224,0,10,0,45,0,13,0,8
Ring of Automation Database Library,io.cyborgcode.roa.db.service,DatabaseService,0,90,0,0,0,20,0,5,0,5
Ring of Automation Database Library,io.cyborgcode.roa.db.log,LogDb,0,57,0,2,0,23,0,12,0,11
Ring of Automation Database Library,io.cyborgcode.roa.db.json,JsonPathExtractor,0,91,0,2,0,26,0,7,0,6
