GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.toggle,ToggleServiceImpl,0,286,0,0,0,34,0,15,0,15
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.toggle,ToggleService,0,78,0,0,0,24,0,14,0,14
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.link,LinkServiceImpl,0,385,0,2,0,49,0,21,0,20
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.link,LinkService,0,35,0,0,0,14,0,6,0,6
Ring of Automation UI Library,io.cyborgcode.roa.ui.drivers.providers,ChromeDriverProvider,0,84,0,4,0,14,0,9,0,7
Ring of Automation UI Library,io.cyborgcode.roa.ui.drivers.providers,EdgeDriverProvider,0,72,0,4,0,12,0,9,0,7
Ring of Automation UI Library,io.cyborgcode.roa.ui.drivers.factory,DriverCreator,0,88,0,4,0,18,0,6,0,4
Ring of Automation UI Library,io.cyborgcode.roa.ui.drivers.factory,WebDriverFactory,0,72,0,2,0,14,0,5,0,4
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.service,TableService,31,128,0,0,7,28,2,18,2,18
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.service,TableImpl.OrderedFieldInvokerAndValues,69,12,10,0,12,1,8,1,3,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.service,TableImpl,210,1988,23,117,34,392,28,115,7,66
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.service,Table,0,16,0,0,0,4,0,2,0,2
Ring of Automation UI Library,io.cyborgcode.roa.ui.components.table.service,TableServiceImpl,0,174,0,6,0,33,0,20,0,17
Ring of Automation UI Library,io.cyborgcode.roa.ui.drivers.base,BaseDriverProvider,0,25,0,0,0,7,0,4,0,4
Ring of Automation UI Library,io.cyborgcode.roa.ui.selenium.smart,SmartWebElementInspector,0,125,0,20,0,27,0,16,0,6
Ring of Automation UI Library,io.cyborgcode.roa.ui.selenium.smart,SmartWebElementInspector.Result,0,12,0,0,0,1,0,1,0,1
Ring of Automation UI Library,io.cyborgcode.roa.ui.selenium.smart,SmartWebDriver,11,438,4,26,0,112,4,29,0,18
Ring of Automation UI Library,io.cyborgcode.roa.ui.selenium.smart,SmartWebElement,28,383,5,29,5,96,5,34,1,21
